Year,region,province_city,foreign,overseas,domestic,total,is_region_total
2016,Region IV-A CALABARZON,San Antonio,0,0,4035,4035,0
2016,Region IV-A CALABARZON,San Francisco,0,0,0,0,0
2016,Region IV-A CALABARZON,Sariaya,0,0,113633,113633,0
2016,Region IV-A CALABARZON,Tagkawayan,0,0,12395,12395,0
2016,Region IV-A CALABARZON,Tayabas,164,0,169304,169468,0
2016,Region IV-A CALABARZON,Tiaong,4065,91,21463,25619,0
2016,Region IV-A CALABARZON,Partial,0,0,0,0,0
2016,Region IV-A CALABARZON,Rizal,2351,0,919625,921976,0
2016,Region IV-A CALABARZON,Antipolo City,1950,0,138684,140634,0
2016,Region IV-A CALABARZON,Angono,0,0,0,0,0
2016,Region IV-A CALABARZON,Baras,0,0,0,0,0
2016,Region IV-A CALABARZON,Binangonan,0,0,0,0,0
2016,Region IV-A CALABARZON,Cainta,0,0,0,0,0
2016,Region IV-A CALABARZON,Cordona,0,0,0,0,0
2016,Region IV-A CALABARZON,Jalajala,0,0,0,0,0
2016,Region IV-A CALABARZON,Morong,178,0,102428,102606,0
2016,Region IV-A CALABARZON,Pililia,0,0,0,0,0
2016,Region IV-A CALABARZON,Rodriguez,16,0,322144,322160,0
2016,Region IV-A CALABARZON,San Mateo,0,0,0,0,0
2016,Region IV-A CALABARZON,Tanay,207,0,324107,324314,0
2016,Region IV-A CALABARZON,Taytay,0,0,32262,32262,0
2016,Region IV-A CALABARZON,Teresa,0,0,0,0,0
2016,Region IV-B MIMAROPA,Region IV-B MIMAROPA,416390,4517,1108030,1528937,1
2016,Region IV-B MIMAROPA,Marinduque,82,0,33338,33420,0
2016,Region IV-B MIMAROPA,Boac,80,0,22125,22205,0
2016,Region IV-B MIMAROPA,Buenavista,2,0,3263,3265,0
2016,Region IV-B MIMAROPA,Gasan,0,0,1157,1157,0
2016,Region IV-B MIMAROPA,Mogpog,0,0,1809,1809,0
2016,Region IV-B MIMAROPA,Sta. Cruz,0,0,4704,4704,0
2016,Region IV-B MIMAROPA,Torrijos,0,0,280,280,0
2016,Region IV-B MIMAROPA,Occidental Mindoro,4347,2,185499,189848,0
2016,Region IV-B MIMAROPA,Abra de Ilog,0,0,0,0,0
2016,Region IV-B MIMAROPA,Calintaan,0,0,9076,9076,0
2016,Region IV-B MIMAROPA,Looc,0,0,0,0,0
2016,Region IV-B MIMAROPA,Lubang,178,0,45514,45692,0
