Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Victoria;City/Municipality;183;92;27446;27721;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Quezon;Province;3744;577;616580;620901;Province;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Agdangan;City/Municipality;0;0;25402;25402;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Atimonan;City/Municipality;0;0;64779;64779;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Calauag;City/Municipality;0;0;1342;1342;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Candelaria;City/Municipality;247;444;7031;7722;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Gen. Nakar;City/Municipality;141;0;7108;7249;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Gumaca;City/Municipality;88;0;32240;32328;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Jomalig;City/Municipality;0;0;1083;1083;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Lucban;City/Municipality;2004;0;79924;81928;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Lucena City;City/Municipality;0;0;13597;13597;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Mauban;City/Municipality;0;0;123816;123816;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Padre Burgos;City/Municipality;0;0;16622;16622;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Pagbilao;City/Municipality;0;0;13630;13630;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Plaridel;City/Municipality;55;0;5277;5332;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Perez;City/Municipality;0;0;62;62;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Polillo;City/Municipality;0;133;2885;3018;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Real;City/Municipality;0;0;92878;92878;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;San Francisco;City/Municipality;10;0;44;54;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Sariaya;City/Municipality;587;0;91828;92415;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Tagkawayan;City/Municipality;0;0;2830;2830;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Tayabas;City/Municipality;0;0;16733;16733;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Quezon;Tiaong;City/Municipality;600;0;16755;17355;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Antipolo City;City/Municipality;2922;0;98473;101395;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Baras;City/Municipality;12;0;6;18;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Binangonan;City/Municipality;1519;0;8638;10157;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Rodriguez;City/Municipality;118;0;111782;111900;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Tanay;City/Municipality;976;0;329207;330183;City/Municipality;14,1008;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;;Region IV-B MIMAROPA;Region;377926;4569;1040085;1422580;Region;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Marinduque;Marinduque;Province;0;0;20408;20408;Province;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Marinduque;Boac;City/Municipality;0;0;20408;20408;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Occidental Mindoro;Province;6233;0;169677;175910;Province;10,7202;121,0794
